[MS Spectrum]
# of Peaks	638
Raw Spectrum	[9.033],(scan:[543])
Background	No Background Spectrum
Base Peak	m/z 584.30 (Inten : 204,806)
m/z	Absolute Intensity	Relative Intensity
578.35	4612	2.25
579.50	1419	0.69
580.30	845	0.41
581.15	859	0.42
582.20	954	0.47
583.15	407	0.20
584.30	204806	100.00
585.25	76806	37.50
586.25	25721	12.56
587.35	5876	2.87
588.45	2279	1.11
589.60	511	0.25
590.25	462	0.23
591.20	1027	0.50
592.30	2319	1.13
593.20	1572	0.77
594.30	918	0.45
595.35	2557	1.25
596.30	766	0.37
597.20	1495	0.73
598.70	641	0.31
599.35	1053	0.51
600.35	1660	0.81
601.45	2506	1.22
602.35	1130	0.55
603.45	1148	0.56
604.60	1482	0.72
605.55	2309	1.13
606.25	100368	49.01
607.30	37462	18.29
608.25	13590	6.64
609.35	2017	0.98
610.20	18234	8.90
611.15	11339	5.54
612.15	9614	4.69
613.15	3663	1.79
614.20	2542	1.24
615.15	1205	0.59
616.25	991	0.48
617.05	522	0.25
617.80	1796	0.88
618.50	646	0.32
619.35	700	0.34
620.35	1561	0.76
621.25	348	0.17
622.20	3071	1.50
623.20	2172	1.06
624.30	1694	0.83
625.50	1340	0.65
626.25	905	0.44
627.50	656	0.32
628.20	991	0.48
628.80	634	0.31
629.40	1346	0.66
630.25	789	0.39
631.15	915	0.45
631.70	646	0.32
632.40	824	0.40
633.35	983	0.48
634.20	650	0.32
634.90	743	0.36
635.75	1140	0.56
636.60	1250	0.61
637.80	1534	0.75
638.60	1017	0.50
639.15	627	0.31
640.20	2058	1.00
641.35	862	0.42
642.25	397	0.19
643.40	3913	1.91
644.25	1770	0.86
645.45	1591	0.78
646.25	2495	1.22
646.85	516	0.25
647.65	738	0.36
648.50	1477	0.72
649.45	1321	0.65
650.85	2470	1.21
651.75	1013	0.49
652.45	1392	0.68
653.60	930	0.45
654.30	1308	0.64
655.25	753	0.37
656.40	1040	0.51
657.25	1181	0.58
657.95	898	0.44
658.60	847	0.41
659.20	1343	0.66
660.50	750	0.37
661.55	1230	0.60
662.15	1396	0.68
663.45	1474	0.72
664.25	360	0.18
665.25	2157	1.05
666.15	1792	0.87
667.15	1343	0.66
668.30	2173	1.06
669.30	1433	0.70
670.25	1387	0.68
670.95	1464	0.71
672.15	2211	1.08
673.25	590	0.29
674.00	621	0.30
674.60	392	0.19
675.35	1185	0.58
676.40	2027	0.99
677.45	1086	0.53
678.25	185	0.09
679.00	1389	0.68
680.00	626	0.31
680.80	749	0.37
681.45	783	0.38
682.45	358	0.17
683.35	583	0.28
684.25	7276	3.55
685.20	7296	3.56
686.20	4565	2.23
687.25	2565	1.25
688.30	2111	1.03
689.25	1443	0.70
690.10	1146	0.56
691.05	1299	0.63
692.20	1489	0.73
693.30	801	0.39
694.70	975	0.48
696.10	1212	0.59
697.05	1145	0.56
698.15	856	0.42
699.00	711	0.35
699.75	720	0.35
701.05	1184	0.58
701.85	389	0.19
702.20	1584	0.77
703.40	1011	0.49
704.45	251	0.12
705.20	1350	0.66
706.30	1092	0.53
707.40	1249	0.61
708.05	545	0.27
708.90	1546	0.75
709.85	616	0.30
710.75	834	0.41
711.35	996	0.49
712.65	9040	4.41
713.75	354	0.17
714.55	448	0.22
715.35	827	0.40
716.05	1219	0.60
716.95	185	0.09
717.65	1175	0.57
719.05	1494	0.73
719.85	559	0.27
720.50	1391	0.68
721.35	1378	0.67
722.30	783	0.38
723.15	830	0.41
723.95	5381	2.63
725.35	1571	0.77
726.10	511	0.25
727.30	1118	0.55
728.25	601	0.29
729.00	1978	0.97
730.15	1658	0.81
730.90	788	0.38
731.55	683	0.33
732.00	389	0.19
732.95	1492	0.73
734.05	320	0.16
734.85	210	0.10
735.60	1191	0.58
736.30	645	0.31
737.15	990	0.48
738.10	1212	0.59
738.75	497	0.24
739.35	507	0.25
740.40	707	0.35
741.30	1664	0.81
742.20	1000	0.49
742.95	2690	1.31
743.80	897	0.44
744.30	793	0.39
745.10	874	0.43
746.05	375	0.18
747.05	621	0.30
747.90	1554	0.76
748.50	580	0.28
749.30	753	0.37
750.05	511	0.25
750.85	264	0.13
751.55	968	0.47
752.25	665	0.32
752.90	879	0.43
753.75	1655	0.81
754.65	1040	0.51
755.50	1641	0.80
756.10	470	0.23
756.65	665	0.32
757.30	603	0.29
758.25	10472	5.11
759.20	8765	4.28
760.20	7662	3.74
761.20	4179	2.04
762.25	2737	1.34
763.30	1038	0.51
764.30	1007	0.49
765.30	1107	0.54
766.40	1507	0.74
767.65	1988	0.97
768.30	456	0.22
768.95	947	0.46
769.75	399	0.19
770.55	783	0.38
771.40	1345	0.66
772.35	956	0.47
773.35	389	0.19
774.40	1464	0.71
774.95	992	0.48
775.95	513	0.25
776.70	413	0.20
777.40	1436	0.70
778.35	932	0.46
779.25	610	0.30
780.65	1060	0.52
781.65	404	0.20
782.35	1368	0.67
783.30	1452	0.71
784.05	271	0.13
784.70	1369	0.67
785.55	476	0.23
786.25	1176	0.57
787.30	1494	0.73
788.60	1965	0.96
789.45	834	0.41
790.45	1154	0.56
791.45	293	0.14
791.90	1472	0.72
793.00	588	0.29
793.75	1061	0.52
794.65	1259	0.61
795.65	1404	0.69
796.75	391	0.19
797.65	7170	3.50
798.75	1205	0.59
799.60	775	0.38
800.35	904	0.44
801.15	1047	0.51
802.70	1406	0.69
803.50	444	0.22
804.35	1015	0.50
805.35	700	0.34
806.60	412	0.20
807.40	1619	0.79
808.20	567	0.28
808.70	260	0.13
809.45	1226	0.60
810.20	590	0.29
810.80	851	0.42
811.75	888	0.43
813.10	1012	0.49
814.25	691	0.34
815.35	761	0.37
816.25	838	0.41
817.20	1049	0.51
817.80	713	0.35
818.55	2383	1.16
819.80	1429	0.70
821.05	1194	0.58
822.15	4819	2.35
823.00	1449	0.71
823.95	969	0.47
824.80	332	0.16
826.05	1182	0.58
827.20	1426	0.70
828.15	623	0.30
828.80	687	0.34
829.70	1367	0.67
830.85	788	0.38
831.55	383	0.19
832.15	2195	1.07
833.35	1996	0.97
834.30	1191	0.58
835.35	1030	0.50
836.25	1337	0.65
837.35	868	0.42
838.20	1682	0.82
839.20	788	0.38
840.10	1036	0.51
841.15	1363	0.67
841.95	699	0.34
843.00	1591	0.78
843.75	212	0.10
844.60	1598	0.78
845.80	798	0.39
846.55	509	0.25
847.05	400	0.20
847.65	1395	0.68
848.30	752	0.37
848.80	204	0.10
849.45	829	0.40
850.45	1086	0.53
851.30	820	0.40
851.85	425	0.21
852.65	697	0.34
853.55	689	0.34
854.50	731	0.36
855.55	1449	0.71
856.65	889	0.43
857.75	580	0.28
859.00	1872	0.91
860.35	1009	0.49
861.20	542	0.26
861.85	655	0.32
862.70	995	0.49
863.80	499	0.24
864.80	627	0.31
866.00	961	0.47
866.85	422	0.21
867.65	415	0.20
868.45	495	0.24
869.35	918	0.45
869.90	327	0.16
870.95	1329	0.65
872.40	833	0.41
873.45	267	0.13
874.40	899	0.44
875.25	299	0.15
876.15	1051	0.51
877.20	697	0.34
877.95	1525	0.74
878.95	351	0.17
880.00	1524	0.74
880.95	995	0.49
881.55	373	0.18
882.95	841	0.41
883.80	840	0.41
884.45	338	0.17
885.10	638	0.31
885.75	671	0.33
886.45	587	0.29
887.40	972	0.47
888.75	671	0.33
889.65	389	0.19
890.50	1209	0.59
891.15	1092	0.53
892.20	1303	0.64
893.00	1292	0.63
893.75	912	0.45
894.70	1755	0.86
896.00	381	0.19
896.95	846	0.41
898.40	1291	0.63
899.25	1475	0.72
Event	1
